website_type,tracking_type,tracking_number,created_at,loading_port,departure_time
ANL,BOOKING_NUMBER,DJA1144316,2023/09/06,JAKARTA,2023/08/21 15:04:00
ANL,BOOKING_NUMBER,TRHU4772486,2023/06/29,YOKOHAMA,2023/07/13 22:00:00
CMACGM,BILL_OF_LOADING_NUMBER,GEN1571675,2023/06/30,SALERNO,2023/05/18 05:18:00
CMACGM,BILL_OF_LOADING_NUMBER,GEN1570278,2023/06/30,SALERNO,2023/05/18 05:18:00
CMACGM,BOOKING_NUMBER,CGP0262377 ,2023/10/11,KOBE,2023/10/28 12:00:00
CMACGM,BOOKING_NUMBER,CGP0262073,2023/10/04,KOBE,2023/10/14 20:27:00
CMACGM,BOOKING_NUMBER,GEN1570278,2023/09/09,SALERNO,2023/05/18 05:18:00
CMACGM,BOOKING_NUMBER,AMP0446749,2023/10/06,NAGOYA,2023/10/09 13:48:00
CMACGM,BOOKING_NUMBER,DJA1144316,2023/08/14,JAKARTA,2023/08/21 15:04:00
CMACGM,BOOKING_NUMBER,CGP0262177,2023/10/04,KOBE,2023/10/21 11:30:00
CMACGM,BOOKING_NUMBER,CMAU8983461,2023/06/28,YOKOHAMA,2023/06/15 03:42:00
CMACGM,CONTAINER_NUMBER,APHU7205971,2023/06/30,SALERNO,2023/05/18 05:18:00
CMACGM,CONTAINER_NUMBER,TGHU5109922,2023/10/26,"BUSAN, KOREA",2023/11/19 20:00:00
CMACGM,CONTAINER_NUMBER,ECMU4529690,2023/06/28,AARHUS,2023/05/09 19:18:00
CMACGM,CONTAINER_NUMBER,CMAU8983461,2023/06/29,YOKOHAMA,2023/06/15 03:42:00
CMACGM,CONTAINER_NUMBER,TRHU4772486,2023/06/29,YOKOHAMA,2023/07/12 15:00:00
COSCO,BILL_OF_LOADING_NUMBER,6356766430,2023/06/30,Naples-CO.NA.TE.CO SPA,2023/05/19 01:59:00
COSCO,BILL_OF_LOADING_NUMBER,6366176330,2023/10/25,Naples,2023/10/01 14:32:00
COSCO,BILL_OF_LOADING_NUMBER,6364068110,2023/10/17,Naples,2023/09/11 22:31:00
COSCO,BILL_OF_LOADING_NUMBER,6364055890,2023/10/11,Naples,2023/09/11 22:31:00
COSCO,BILL_OF_LOADING_NUMBER,7243931760,2023/05/11,"Dalian-Dalian Container Terminal Co.,ltd.",2023/05/05 21:35:00
COSCO,BILL_OF_LOADING_NUMBER,6360574510,2023/09/22,Naples,2023/07/21 09:16:00
COSCO,BILL_OF_LOADING_NUMBER,6364348760,2023/10/19,Bari,2023/09/10 21:46:00
COSCO,BILL_OF_LOADING_NUMBER,6357364000,2023/06/30,Naples-CO.NA.TE.CO SPA,2023/05/31 13:52:00
COSCO,BILL_OF_LOADING_NUMBER,6362109570,2023/09/22,Naples,2023/08/15 21:09:00
COSCO,BILL_OF_LOADING_NUMBER,6363960700,2023/10/02,Naples,2023/09/11 22:31:00
COSCO,BILL_OF_LOADING_NUMBER,6366284550,2023/10/31,Ancona,2023/10/04 20:46:00
COSCO,BILL_OF_LOADING_NUMBER,6357364000,2023/07/05,Naples-CO.NA.TE.CO SPA,2023/05/31 13:52:00
COSCO,BILL_OF_LOADING_NUMBER,6363842890,2023/09/28,Genoa,2023/09/12 20:52:00
COSCO,BOOKING_NUMBER,6231547220,2023/07/18,Kobe,2023/07/15 02:04:00
COSCO,BOOKING_NUMBER,6231546800,2023/07/28,Kobe,2023/08/12 19:06:00
COSCO,BOOKING_NUMBER,7245047350,2023/07/28,Kobe,2023/08/11 02:16:00
COSCO,BOOKING_NUMBER,6367151430,2023/10/27,Colon Container Terminal,2023/10/17 12:29:00
COSCO,BOOKING_NUMBER,5158623440,2023/06/20,"Yokohama-Minamihonmoku Container Tml MC1, 2",2023/06/15 03:03:00
COSCO,BOOKING_NUMBER,5158424640,2023/04/19,Yokohama-Honmoku BC-2 Container Terminal,2023/04/27 15:54:00
COSCO,BOOKING_NUMBER,5158398560,2023/04/20,Yokohama-Honmoku BC-2 Container Terminal,2023/04/20 15:56:00
COSCO,BOOKING_NUMBER,5158584970,2023/07/07,Nagoya-Nabeta Pier Container Terminal,2023/07/08 16:35:00
COSCO,BOOKING_NUMBER,5158810890,2023/09/05,Yokohama,2023/09/12 23:51:00
COSCO,BOOKING_NUMBER,5158810840,2023/08/07,Yokohama,2023/08/17 21:38:00
COSCO,BOOKING_NUMBER,5159173100,2023/11/01,Yokohama,2023/11/01 14:51:00
COSCO,BOOKING_NUMBER,5158398560,2023/04/13,Yokohama-Honmoku BC-2 Container Terminal,2023/04/20 15:56:00
