website_type,tracking_type,tracking_number,Y,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19
ANL,BOOKING_NUMBER,DJA1144316,0,68,74,65,49,49,52,52,51,49,54,0,0,0,0,0,0,0,0,0,0
ANL,BOOKING_NUMBER,TRHU4772486,0,84,82,72,85,52,55,55,50,52,56,54,0,0,0,0,0,0,0,0,0
CMACGM,BILL_OF_LOADING_NUMBER,GEN1571675,1,71,69,78,49,53,55,49,54,55,53,0,0,0,0,0,0,0,0,0,0
CMACGM,BILL_OF_LOADING_NUMBER,GEN1570278,1,71,69,78,49,53,55,48,50,55,56,0,0,0,0,0,0,0,0,0,0
CMACGM,BOOKING_NUMBER,CGP0262377 ,2,67,71,80,48,50,54,50,51,55,55,32,0,0,0,0,0,0,0,0,0
CMACGM,BOOKING_NUMBER,CGP0262073,2,67,71,80,48,50,54,50,48,55,51,0,0,0,0,0,0,0,0,0,0
CMACGM,BOOKING_NUMBER,GEN1570278,2,71,69,78,49,53,55,48,50,55,56,0,0,0,0,0,0,0,0,0,0
CMACGM,BOOKING_NUMBER,AMP0446749,2,65,77,80,48,52,52,54,55,52,57,0,0,0,0,0,0,0,0,0,0
CMACGM,BOOKING_NUMBER,DJA1144316,2,68,74,65,49,49,52,52,51,49,54,0,0,0,0,0,0,0,0,0,0
CMACGM,BOOKING_NUMBER,CGP0262177,2,67,71,80,48,50,54,50,49,55,55,0,0,0,0,0,0,0,0,0,0
CMACGM,BOOKING_NUMBER,CMAU8983461,2,67,77,65,85,56,57,56,51,52,54,49,0,0,0,0,0,0,0,0,0
CMACGM,CONTAINER_NUMBER,APHU7205971,3,65,80,72,85,55,50,48,53,57,55,49,0,0,0,0,0,0,0,0,0
CMACGM,CONTAINER_NUMBER,TGHU5109922,3,84,71,72,85,53,49,48,57,57,50,50,0,0,0,0,0,0,0,0,0
CMACGM,CONTAINER_NUMBER,ECMU4529690,3,69,67,77,85,52,53,50,57,54,57,48,0,0,0,0,0,0,0,0,0
CMACGM,CONTAINER_NUMBER,CMAU8983461,3,67,77,65,85,56,57,56,51,52,54,49,0,0,0,0,0,0,0,0,0
CMACGM,CONTAINER_NUMBER,TRHU4772486,3,84,82,72,85,52,55,55,50,52,56,54,0,0,0,0,0,0,0,0,0
COSCO,BILL_OF_LOADING_NUMBER,6356766430,4,54,51,53,54,55,54,54,52,51,48,0,0,0,0,0,0,0,0,0,0
COSCO,BILL_OF_LOADING_NUMBER,6366176330,4,54,51,54,54,49,55,54,51,51,48,0,0,0,0,0,0,0,0,0,0
COSCO,BILL_OF_LOADING_NUMBER,6364068110,4,54,51,54,52,48,54,56,49,49,48,0,0,0,0,0,0,0,0,0,0
COSCO,BILL_OF_LOADING_NUMBER,6364055890,4,54,51,54,52,48,53,53,56,57,48,0,0,0,0,0,0,0,0,0,0
COSCO,BILL_OF_LOADING_NUMBER,7243931760,4,55,50,52,51,57,51,49,55,54,48,0,0,0,0,0,0,0,0,0,0
COSCO,BILL_OF_LOADING_NUMBER,6360574510,4,54,51,54,48,53,55,52,53,49,48,0,0,0,0,0,0,0,0,0,0
COSCO,BILL_OF_LOADING_NUMBER,6364348760,4,54,51,54,52,51,52,56,55,54,48,0,0,0,0,0,0,0,0,0,0
COSCO,BILL_OF_LOADING_NUMBER,6357364000,4,54,51,53,55,51,54,52,48,48,48,0,0,0,0,0,0,0,0,0,0
COSCO,BILL_OF_LOADING_NUMBER,6362109570,4,54,51,54,50,49,48,57,53,55,48,0,0,0,0,0,0,0,0,0,0
COSCO,BILL_OF_LOADING_NUMBER,6363960700,4,54,51,54,51,57,54,48,55,48,48,0,0,0,0,0,0,0,0,0,0
COSCO,BILL_OF_LOADING_NUMBER,6366284550,4,54,51,54,54,50,56,52,53,53,48,0,0,0,0,0,0,0,0,0,0
COSCO,BILL_OF_LOADING_NUMBER,6357364000,4,54,51,53,55,51,54,52,48,48,48,0,0,0,0,0,0,0,0,0,0
COSCO,BILL_OF_LOADING_NUMBER,6363842890,4,54,51,54,51,56,52,50,56,57,48,0,0,0,0,0,0,0,0,0,0
COSCO,BOOKING_NUMBER,6231547220,5,54,50,51,49,53,52,55,50,50,48,0,0,0,0,0,0,0,0,0,0
COSCO,BOOKING_NUMBER,6231546800,5,54,50,51,49,53,52,54,56,48,48,0,0,0,0,0,0,0,0,0,0
COSCO,BOOKING_NUMBER,7245047350,5,55,50,52,53,48,52,55,51,53,48,0,0,0,0,0,0,0,0,0,0
COSCO,BOOKING_NUMBER,6367151430,5,54,51,54,55,49,53,49,52,51,48,0,0,0,0,0,0,0,0,0,0
COSCO,BOOKING_NUMBER,5158623440,5,53,49,53,56,54,50,51,52,52,48,0,0,0,0,0,0,0,0,0,0
COSCO,BOOKING_NUMBER,5158424640,5,53,49,53,56,52,50,52,54,52,48,0,0,0,0,0,0,0,0,0,0
COSCO,BOOKING_NUMBER,5158398560,5,53,49,53,56,51,57,56,53,54,48,0,0,0,0,0,0,0,0,0,0
COSCO,BOOKING_NUMBER,5158584970,5,53,49,53,56,53,56,52,57,55,48,0,0,0,0,0,0,0,0,0,0
COSCO,BOOKING_NUMBER,5158810890,5,53,49,53,56,56,49,48,56,57,48,0,0,0,0,0,0,0,0,0,0
COSCO,BOOKING_NUMBER,5158810840,5,53,49,53,56,56,49,48,56,52,48,0,0,0,0,0,0,0,0,0,0
COSCO,BOOKING_NUMBER,5159173100,5,53,49,53,57,49,55,51,49,48,48,0,0,0,0,0,0,0,0,0,0
COSCO,BOOKING_NUMBER,5158398560,5,53,49,53,56,51,57,56,53,54,48,0,0,0,0,0,0,0,0,0,0
COSCO,BOOKING_NUMBER,5158410510,5,53,49,53,56,52,49,48,53,49,48,0,0,0,0,0,0,0,0,0,0
COSCO,BOOKING_NUMBER,6231546660,5,54,50,51,49,53,52,54,54,54,48,0,0,0,0,0,0,0,0,0,0
COSCO,BOOKING_NUMBER,5158410510,5,53,49,53,56,52,49,48,53,49,48,0,0,0,0,0,0,0,0,0,0
