,website_type,tracking_type,tracking_number,Y,Y_predicted
1718,WANHAI,CONTAINER_NUMBER,WHSU2851270,53,35
715,MSC,CONTAINER_NUMBER,BEAU4265788,35,35
966,NAMSUNG,CONTAINER_NUMBER,NSSU7127932,38,35
849,NAMSUNG,BILL_OF_LOADING_NUMBER,NSSLLCHKC2200219,36,36
1567,WANHAI,BILL_OF_LOADING_NUMBER,035DX25663,51,52
1706,WANHAI,CONTAINER_NUMBER,WHSU2635898,53,35
526,MSC,BOOKING_NUMBER,EBKG05762776,34,40
669,MSC,CONTAINER_NUMBER,MEDU5548432,35,35
1272,ONE,CONTAINER_NUMBER,GCXU2297987,41,35
650,MSC,CONTAINER_NUMBER,MEDURI587300,35,33
865,NAMSUNG,BILL_OF_LOADING_NUMBER,NSSLLCTMC2300001,36,36
1324,ONE,CONTAINER_NUMBER,BMOU1514747,41,35
109,EVERGREEN,BOOKING_NUMBER,020300329364,13,13
322,HMM,BILL_OF_LOADING_NUMBER,DALA24554100,21,40
307,HAPAGLLOYD,BOOKING_NUMBER,72183280,19,19
781,MSC,CONTAINER_NUMBER,CAAU5768161,35,35
1487,OOCL,CONTAINER_NUMBER,OOLU0786284,44,35
1825,YANGMING,BILL_OF_LOADING_NUMBER,YMLUN710613169,57,57
70,DONGJIN,BOOKING_NUMBER,DJSCSHA230005238,10,18
1322,ONE,CONTAINER_NUMBER,TCKU3763795,41,35
1519,OOCL,CONTAINER_NUMBER,TLLU3282265,44,35
889,NAMSUNG,BILL_OF_LOADING_NUMBER,NSSLLCHMC2200036,36,36
350,HMM,CONTAINER_NUMBER,HDMU4743428     ,23,42
1818,YANGMING,BILL_OF_LOADING_NUMBER,YMLUN710614655,57,57
1472,OOCL,CONTAINER_NUMBER,OOCU8215433,44,35
879,NAMSUNG,BILL_OF_LOADING_NUMBER,NSSLLCSDC2300089,36,36
817,MSC,CONTAINER_NUMBER,TGBU4678516,35,35
1457,OOCL,CONTAINER_NUMBER,OOLU0910707,44,35
344,HMM,CONTAINER_NUMBER,KOCU2114190,23,35
901,NAMSUNG,BILL_OF_LOADING_NUMBER,NSSLLCSDC2200026,36,36
1671,WANHAI,BOOKING_NUMBER, 035CX19525,52,52
1608,WANHAI,BOOKING_NUMBER,035CX00719,52,52
930,NAMSUNG,CONTAINER_NUMBER,NSJU0001139,38,35
1157,ONE,BOOKING_NUMBER,SIND21237700,40,40
1113,ONE,BOOKING_NUMBER,TYOD73452300,40,40
925,NAMSUNG,CONTAINER_NUMBER,NSSU0084567,38,35
596,MSC,CONTAINER_NUMBER,TGHU9084864,35,35
1461,OOCL,CONTAINER_NUMBER,TGHU6992960,44,35
361,KMTC,BOOKING_NUMBER,JP01041072,28,28
203,EVERGREEN,BOOKING_NUMBER,020300326659,13,13
886,NAMSUNG,BILL_OF_LOADING_NUMBER,NSSLLCSDC2200073,36,36
1190,ONE,BOOKING_NUMBER,TYOD60257900 ,40,39
1536,SEALAND,BOOKING_NUMBER,MRKU7057927,46,35
1752,WANHAI,CONTAINER_NUMBER,WHSU6090693,53,35
1067,ONE,BOOKING_NUMBER,BKKDL0004800,40,40
1374,ONE,CONTAINER_NUMBER,FCIU4254997,41,35
1214,ONE,BOOKING_NUMBER,NGOD02947300,40,40
1132,ONE,BOOKING_NUMBER,NGOD10385500,40,40
196,EVERGREEN,BOOKING_NUMBER,050100587671,13,13
1159,ONE,BOOKING_NUMBER,SIND18303700,40,40
1121,ONE,BOOKING_NUMBER,RICDX2986500,40,40
1258,ONE,CONTAINER_NUMBER,TCNU4380291,41,35
948,NAMSUNG,CONTAINER_NUMBER,TRHU3529358,38,35
1538,SEALAND,BOOKING_NUMBER,227915014,46,30
994,ONE,BILL_OF_LOADING_NUMBER,LIVD24107500,39,40
427,MAERSK,BOOKING_NUMBER,227719405,31,30
365,KMTC,BOOKING_NUMBER,JP01042217,28,28
1220,ONE,BOOKING_NUMBER,NGOD02942500,40,40
1359,ONE,CONTAINER_NUMBER,TCLU3374975,41,35
950,NAMSUNG,CONTAINER_NUMBER,TRHU4102144,38,35
270,HAPAGLLOYD,BILL_OF_LOADING_NUMBER,HLCUVAN230408131,18,18
1310,ONE,CONTAINER_NUMBER,TEMU0675993,41,35
1347,ONE,CONTAINER_NUMBER,TCLU3544618,41,35
1146,ONE,BOOKING_NUMBER,TYOD34258400,40,40
1682,WANHAI,BOOKING_NUMBER,114D000410,52,43
324,HMM,BILL_OF_LOADING_NUMBER,VANA89171000,21,40
1703,WANHAI,CONTAINER_NUMBER,BMOU1210493,53,35
1111,ONE,BOOKING_NUMBER,MAAD19342800,40,40
818,MSC,CONTAINER_NUMBER,MEDU9439954,35,35
1221,ONE,BOOKING_NUMBER,NGOD02941400,40,40
1361,ONE,CONTAINER_NUMBER,NYKU3546801,41,35
65,COSCO,CONTAINER_NUMBER,TRHU5799964,8,35
420,MAERSK,BILL_OF_LOADING_NUMBER,231492585,30,30
1652,WANHAI,BOOKING_NUMBER,035CX36140,52,52
111,EVERGREEN,BOOKING_NUMBER,024300073478,13,13
29,COSCO,BOOKING_NUMBER,6231547220,7,43
527,MSC,BOOKING_NUMBER,206ITY0058539 ,34,34
251,HAMBURGSUD,BILL_OF_LOADING_NUMBER,SUDU33SYD005215X,15,15
1125,ONE,BOOKING_NUMBER,TYODA0072600,40,40
997,ONE,BILL_OF_LOADING_NUMBER,GOAD31131900,39,40
788,MSC,CONTAINER_NUMBER,CAIU4601070,35,35
450,MSC,BILL_OF_LOADING_NUMBER,MEDUUG381103,33,33
1173,ONE,BOOKING_NUMBER,SIND23764700,40,40
354,HMM,CONTAINER_NUMBER,KOCU5090641,23,35
1512,OOCL,CONTAINER_NUMBER,CSLU2034363,44,35
383,KMTC,BOOKING_NUMBER,JP01023532,28,28
1776,WESTWOOD,BOOKING_NUMBER,J23TAK00299,55,35
1326,ONE,CONTAINER_NUMBER,BEAU5334414,41,35
1357,ONE,CONTAINER_NUMBER,NYKU8529197,41,35
1574,WANHAI,BILL_OF_LOADING_NUMBER,035DX25559,51,52
1091,ONE,BOOKING_NUMBER,NGOD17238900,40,40
1804,YANGMING,BILL_OF_LOADING_NUMBER,YMLUN710614357,57,57
619,MSC,CONTAINER_NUMBER,CRXU4518742,35,35
342,HMM,CONTAINER_NUMBER,HDMU4736136,23,35
593,MSC,CONTAINER_NUMBER,MEDU4198432,35,35
462,MSC,BILL_OF_LOADING_NUMBER,MEDUJ5112316,33,40
555,MSC,CONTAINER_NUMBER,MSMU5253970,35,35
1366,ONE,CONTAINER_NUMBER,OTPU6387768	,41,35
438,MAERSK,CONTAINER_NUMBER,MRKU8205274,32,35
1592,WANHAI,BILL_OF_LOADING_NUMBER,100DX05398,51,52
289,HAPAGLLOYD,BOOKING_NUMBER,71638352,19,19
651,MSC,CONTAINER_NUMBER, MEDU4148982,35,40
892,NAMSUNG,BILL_OF_LOADING_NUMBER,NSSLLCYMC2200025,36,36
752,MSC,CONTAINER_NUMBER,MSDU4423736,35,35
254,HAMBURGSUD,BOOKING_NUMBER,3SYD004375,16,28
1829,YANGMING,BILL_OF_LOADING_NUMBER,YMJAM912046816,57,57
1402,OOCL,BILL_OF_LOADING_NUMBER,OOLU8892726470,42,42
694,MSC,CONTAINER_NUMBER,CAAU5828430,35,35
1100,ONE,BOOKING_NUMBER,NGOD19625400,40,40
548,MSC,BOOKING_NUMBER,EBKG05239707,34,40
1255,ONE,CONTAINER_NUMBER,TEMU5139400,41,35
1274,ONE,CONTAINER_NUMBER,NYKU9815425,41,35
1179,ONE,BOOKING_NUMBER,NGOD06735900,40,40
1356,ONE,CONTAINER_NUMBER,TGHU5277757,41,35
