website_type,tracking_type,tracking_number,Y,Y_predicted
OOCL,BOOKING_NUMBER,2726732140,36,36
MSC,CONTAINER_NUMBER,TTNU9301636,29,29
OOCL,BILL_OF_LOADING_NUMBER,OOLU2141710750,35,35
MSC,BOOKING_NUMBER,EBKG05762842,28,28
ONE,CONTAINER_NUMBER,TLLU6033559,34,31
MSC,CONTAINER_NUMBER,MEDURI587300,29,29
YANGMING,BILL_OF_LOADING_NUMBER,YMJAM600359386,47,47
HMM,BILL_OF_LOADING_NUMBER,DALA24554100,18,18
NAMSUNG,CONTAINER_NUMBER,TRHU3071753,31,34
MSC,CONTAINER_NUMBER,TLLU5185069,29,37
ONE,BOOKING_NUMBER,SIND18303700,33,33
EVERGREEN,BOOKING_NUMBER,020300291723,11,11
ONE,BOOKING_NUMBER,NGOD02943600,33,33
ONE,BOOKING_NUMBER,TYOD95957300,33,33
MSC,CONTAINER_NUMBER,MEDURI592565,29,29
NAMSUNG,BILL_OF_LOADING_NUMBER,NSSLLCYKC2100100,30,30
EVERGREEN,BOOKING_NUMBER,020300337065,11,11
ONE,BOOKING_NUMBER,BKKDM3490700,33,33
OOCL,BOOKING_NUMBER,4115113270,36,36
EVERGREEN,BOOKING_NUMBER,024300060058,11,11
KMTC,CONTAINER_NUMBER,TEMU0430115,23,44
NAMSUNG,BILL_OF_LOADING_NUMBER,NSSLLCYMC2200025,30,30
MSC,CONTAINER_NUMBER,MEDU4165737,29,29
SEALAND,CONTAINER_NUMBER,CLHU3830549,40,29
WANHAI,BOOKING_NUMBER,035CX80984,43,43
HAPAGLLOYD,BILL_OF_LOADING_NUMBER,HLCURTM230538022,15,15
WANHAI,BOOKING_NUMBER,008DX44230,43,43
YANGMING,BILL_OF_LOADING_NUMBER,YMLUN710613663,47,47
WANHAI,BILL_OF_LOADING_NUMBER,035DX52346,42,42
NAMSUNG,BILL_OF_LOADING_NUMBER,NSSLLCHKC2200183,30,30
EVERGREEN,BOOKING_NUMBER,020300180387,11,11
ONE,BOOKING_NUMBER,TYODC9039600,33,33
MSC,BILL_OF_LOADING_NUMBER,MEDUTX288375,27,27
OOCL,CONTAINER_NUMBER,OOLU0414100,37,37
ONE,BOOKING_NUMBER,NGOD19625400,33,33
MSC,BILL_OF_LOADING_NUMBER,MEDULZ770834,27,27
KMTC,BOOKING_NUMBER,JP01023532,22,22
WANHAI,BOOKING_NUMBER,008DX52133,43,43
EVERGREEN,BOOKING_NUMBER,050300739921,11,11
WANHAI,CONTAINER_NUMBER,HJLU1399430,44,37
OOCL,BOOKING_NUMBER,2726701130,36,35
NAMSUNG,BILL_OF_LOADING_NUMBER,NSSLLCMJC2200102,30,30
WANHAI,BOOKING_NUMBER,008DX54672,43,43
COSCO,BOOKING_NUMBER,5158424640,5,5
ONE,CONTAINER_NUMBER,TCLU2784044,34,34
EVERGREEN,BOOKING_NUMBER,050300606017,11,11
OOCL,BILL_OF_LOADING_NUMBER,OOLU2709673040,35,35
ONE,BOOKING_NUMBER,SIND24139400,33,33
ONE,CONTAINER_NUMBER,NYKU9829603,34,34
MSC,CONTAINER_NUMBER,CRSU9230696,29,29
COSCO,BOOKING_NUMBER,6231547220,5,5
MSC,CONTAINER_NUMBER,DFSU7162007,29,14
ONE,CONTAINER_NUMBER,DFSU1256958,34,34
OOCL,CONTAINER_NUMBER,OOLU5826543,37,37
YANGMING,BILL_OF_LOADING_NUMBER,YMLUN710613727,47,47
MAERSK,CONTAINER_NUMBER,MRKU8205274,26,24
ONE,BOOKING_NUMBER,TYOD87529600,33,33
ONE,BOOKING_NUMBER,TYOD88804300,33,33
ONE,CONTAINER_NUMBER,DRYU2960180,34,34
YANGMING,BILL_OF_LOADING_NUMBER,YMLUN710613218,47,47
MSC,CONTAINER_NUMBER,DRYU9381169,29,14
EVERGREEN,BILL_OF_LOADING_NUMBER,550300095898,10,10
